time[ms],R1[ohm]
2,11608.85
1004,11608.85
2008,11472.71
3010,11654.62
4014,12562.92
5017,14932.46
6020,16835.73
7023,17939.83
8026,18647.34
9029,19477.00
10032,20910.00
11035,22699.51
12038,24127.30
13041,24829.45
14044,25812.13
15047,26066.57
16051,26852.19
17053,27395.34
18057,26852.19
19059,27672.99
20063,27954.81
21065,28240.91
22069,28531.38
23071,28240.91
24075,28975.49
25078,29430.00
26081,28975.49
27084,29430.00
28087,29277.31
29090,29430.00
30093,29895.30
31096,29583.88
32099,29895.30
33102,29738.98
34106,29738.98
35108,29583.88
36112,29895.30
37114,30211.67
38118,29895.29
39120,29895.30
40124,29738.97
41127,30211.67
42130,30211.67
43133,30052.86
44136,30052.85
45139,29583.88
46142,30052.86
47145,30211.67
48148,29738.98
49152,30211.67
50155,30211.68
51158,30859.79
52161,30371.76
53164,30371.76
54167,30533.14
55170,30859.80
56173,30371.76
57177,30371.76
58179,31191.79
59183,30052.86
60185,30533.13
61189,29895.30
62191,30859.80
63195,30371.76
64197,30695.81
65201,31359.84
66204,30695.80
67207,30695.80
68210,30211.67
69213,30211.67
70216,30533.13
71219,30052.85
72222,29738.98
73226,30859.80
74228,30533.14
75232,30695.80
76234,30695.81
77238,30695.80
78240,30695.81
79244,30695.80
80247,31191.79
81250,30052.86
82253,30533.14
83256,30859.79
84259,30371.76
85262,30211.67
86265,30533.14
87269,30371.76
88271,30533.14
89275,30695.80
90277,29895.30
91281,30533.14
92283,30695.81
93287,30533.14
94289,30533.13
95293,30695.81
96296,30052.86
97299,30371.76
98302,30052.86
99305,30533.14
100308,30533.13
101311,30859.80
102315,30695.80
103318,30371.76
104321,30695.80
105324,30859.80
106327,29895.30
107330,30371.76
108334,30533.14
109336,30533.13
110340,30533.13
111343,30371.76
112346,29895.30
113349,30695.81
114352,30695.80
115355,30371.76
116359,30695.81
117361,30533.13
118365,30695.80
119367,30859.80
120371,30533.14
121374,30052.86
122377,29738.98
123380,30695.80
124383,30533.14
125386,30533.14
126390,30533.13
127392,30533.14
128396,31191.80
129398,30211.67
130402,30533.13
131405,30859.80
132408,30533.13
133411,30695.81
134414,31191.79
135417,30695.80
136421,30695.80
137423,30533.13
138427,30533.14
139430,30695.80
140433,30533.14
141436,30695.81
142439,30533.14
143442,30371.76
144446,29895.30
145448,30533.14
146452,30533.14
147454,30695.80
148458,31191.79
149462,31359.84
150464,30533.13
151468,30533.13
152470,30533.14
153474,30052.86
154477,29895.30
155480,30533.14
156483,30533.13
157487,30533.13
158489,30695.80
159493,31529.25
160495,30695.80
161499,30533.13
162502,30371.76
163505,30695.80
164508,31025.13
165511,30695.81
166514,30859.79
167518,30211.67
168520,30052.86
169524,30533.13
170526,30533.13
171530,30533.13
172533,29895.30
173536,30533.14
174539,30533.13
175542,30533.14
176545,30859.80
177549,30533.13
178551,30533.13
179555,31025.13
180558,30533.14
181561,30371.76
182564,30695.80
183567,30533.14
184570,31359.84
185574,30695.81
186576,30371.76
187580,30533.14
188582,31025.13
189586,30533.14
190589,30533.13
191592,31700.09
192595,30533.13
193598,30371.76
194601,31191.79
195605,30533.14
196608,30533.14
197611,30695.80
198614,30695.81
199617,30533.13
200621,31025.13
201623,30533.14
202627,29895.30
203630,31025.12
