time[ms],R1[ohm]
2,11517.90
1004,11293.87
2008,11654.62
3010,11427.72
4014,11382.91
5017,11338.29
6020,11293.87
7023,11517.90
8026,12219.47
9029,14631.46
10032,16977.84
11035,19562.63
12038,21290.43
13041,22594.64
14044,23125.87
15047,23018.24
16050,23234.21
17053,23674.80
18057,25191.53
19059,26986.48
20063,26986.48
21065,27813.37
22069,28678.27
23071,29583.88
24075,29430.00
25078,29895.30
26081,29277.32
27084,30371.76
28087,30695.80
29090,30859.79
30093,30371.76
31096,30859.80
32099,31191.80
33102,30533.14
34106,31700.08
35108,31359.83
36112,31359.84
37114,30859.80
38118,31700.09
39120,31700.08
40124,31872.33
41127,31700.08
42130,31700.08
43133,30211.68
44136,32046.00
45139,31872.33
46142,31700.08
47145,32397.73
48148,31529.26
49152,31700.08
50155,32755.42
51158,31872.33
52161,31700.08
53164,30859.80
54167,31700.08
55170,31872.33
56173,31872.33
57177,31025.12
58179,31700.09
59183,31529.25
60185,32575.82
61189,31359.84
62191,31700.08
63195,31872.32
64197,32221.13
65201,31872.33
66204,31872.32
67207,31872.32
68210,32397.74
69213,31872.32
70216,31872.32
71219,31359.84
72222,31872.32
73226,31872.32
74228,31529.25
75232,32575.82
76234,31872.33
77238,32046.00
78240,31700.08
79244,32046.00
80246,31872.33
81250,31700.08
82253,32575.83
83256,31025.13
84259,31872.32
85262,31700.08
86265,32046.00
87268,31872.33
88271,31872.33
89275,31700.08
90277,32397.74
91281,32046.00
92283,31872.33
93287,32221.13
94289,32046.00
95293,32397.73
96296,31872.33
97299,32046.01
98302,31191.79
99305,31529.25
100308,32221.13
101311,32046.00
102315,31700.08
103318,32397.73
104321,31872.33
105324,31872.32
106327,32397.74
107330,31700.08
108334,32046.00
109336,32575.83
110340,31700.08
111342,31700.08
112346,31700.08
113349,30052.86
114352,31872.33
115355,31872.33
116358,32046.00
117361,31872.33
118365,31700.08
119367,32046.00
120371,31872.33
121373,31872.32
122377,31872.33
123380,31191.80
124383,31872.33
125386,31872.33
126390,31872.32
127392,32397.74
128396,32046.00
129398,31872.32
130402,31700.08
131405,31872.33
132408,31872.33
133411,31872.33
134414,31872.33
135417,31872.33
136421,32046.00
137423,31359.84
138427,32046.00
139429,31872.32
140433,31700.08
141436,31872.33
142439,31872.33
143442,31872.32
144445,31359.84
145448,31872.32
146452,31700.09
147454,31872.32
148458,31191.79
149460,31872.33
150464,31700.08
151468,31872.33
152470,32221.13
153474,31529.26
154476,32221.13
155480,31529.25
156483,32397.73
157486,32046.00
158489,31872.32
159493,32046.00
160495,32221.13
161499,32046.00
162501,31700.08
163505,31872.32
164508,31872.32
165511,31872.33
166514,31700.08
167517,31872.32
168520,31700.09
169524,32397.73
170526,31529.26
171530,31700.09
172532,31872.32
173536,31700.08
174539,31191.79
175542,31359.83
176545,31872.33
177548,32221.13
178551,32046.00
179555,31359.84
180557,31872.32
181561,31872.33
182563,31872.32
183567,31872.32
184570,31872.32
185573,31872.33
186576,31700.08
187579,31700.08
188582,31700.08
189586,31872.33
190588,32046.00
191592,31700.08
192594,31872.33
193598,31872.32
194601,31872.32
195604,31191.79
196608,31872.33
197610,31872.32
198614,31872.32
199617,32397.73
200620,31700.08
201623,31700.09
202627,31872.32
203629,31529.25
204633,32046.00
205635,31872.32
206639,31700.08
207642,32397.73
208645,32397.73
209648,31872.33
210651,31872.32
211654,31529.25
212658,31700.08
213660,31700.08
214664,31700.08
215666,32046.00
216670,32046.00
217673,31872.33
218676,31872.32
219679,31529.25
220682,31359.84
221685,32046.00
222689,32046.00
223691,31191.80
224695,31872.32
225697,31872.33
226701,31872.32
227704,32046.00
228707,31700.08
229710,32046.00
230713,31700.08
231716,32046.00
232720,31872.33
233722,31872.32
234726,31359.84
235728,31529.25
236732,31700.08
237735,31872.33
238738,31025.12
239741,31700.09
240745,32046.01
241747,31529.25
242751,32397.74
243753,31700.08
244757,31872.32
245761,31359.84
246763,31872.33
247767,31872.32
248769,32397.73
249773,32575.82
250776,32046.00
251779,31700.08
252782,32397.73
253785,31872.33
254788,31872.32
255792,31359.84
256794,32046.00
257798,31872.32
258800,32046.00
259804,32397.73
260807,31700.09
261810,31872.32
262813,31359.84
263816,31872.32
264819,31529.26
265823,32221.13
266825,31872.33
267829,31700.08
268832,32397.74
269835,31872.33
270838,31872.32
271841,32936.55
272844,32221.13
273848,31529.25
274850,31872.32
275854,32221.13
276856,31872.33
277860,31700.08
278863,30859.80
279866,31872.32
280869,32046.01
281872,32046.01
282875,31191.79
283879,31872.33
284881,31872.32
285885,32046.00
286887,31872.32
287891,31700.09
288894,31872.33
289897,32221.13
290900,31700.08
291903,31700.08
292907,31529.26
293910,31529.25
294913,31872.33
295916,31872.33
296919,31700.08
297922,31359.84
298926,31872.33
299928,31872.33
300932,31872.32
301935,32575.82
302938,31700.08
303941,31872.32
304944,31529.25
305947,32221.13
306951,31872.33
307953,32046.00
308957,31872.33
309959,31700.09
310963,32046.00
311966,31872.33
312969,31700.08
313972,31872.33
314975,32397.73
315978,31872.33
316982,31872.32
317984,31700.09
318988,31025.12
319990,31700.08
320994,32046.00
321997,32397.73
323000,31872.33
324003,32397.73
325007,31872.33
326009,32046.00
327013,31700.08
328015,32575.83
329019,31700.08
330022,32046.00
331025,31700.09
332028,31872.33
333031,31359.84
334034,31529.25
335038,31191.79
336040,32046.00
337044,31700.08
338046,31872.32
339050,32221.13
340054,31191.80
341056,31872.33
342060,31872.33
343062,31700.08
344066,31700.08
345069,31191.79
346072,31872.33
347075,31872.32
348078,31872.33
349081,31359.83
350085,31359.84
351087,31700.09
352091,31872.32
353093,31872.32
354097,31872.32
355100,31025.13
356103,32046.00
357106,31872.33
358110,32221.13
359112,31872.33
360116,32755.42
361118,31700.08
362122,31872.33
363125,31872.32
364128,31359.84
365131,31872.33
366134,31872.33
367137,31872.32
368141,31872.33
369143,31872.32
370147,31700.08
371149,31872.33
372153,31529.25
373156,32397.74
374159,31359.83
375162,31700.08
376165,31700.08
377168,32221.13
378172,32397.73
379174,31872.32
380178,31872.33
381181,31872.32
382184,31700.08
383187,31872.33
384190,31872.32
385193,31700.08
386197,31191.80
387200,31700.09
388203,31872.33
389206,31025.13
390209,32046.00
391213,31872.32
392215,31872.32
393219,32397.73
394221,31872.33
395225,31700.08
396228,31359.84
397231,31359.84
398234,31872.32
399237,32046.00
400240,32221.13
401244,31872.33
402246,31872.32
403250,31359.84
404253,32221.13
405256,31872.32
406259,31700.08
407262,32397.73
408265,32046.00
409269,31700.08
410271,31872.33
411275,31872.33
412277,31872.32
413281,32397.73
414284,31872.33
415287,32221.13
416290,31529.25
417293,31872.33
418296,31872.32
419300,31191.80
420302,31872.33
421306,31872.32
422308,31359.84
423312,32046.00
424315,32046.00
425318,32575.82
426321,31700.09
427324,31872.32
428327,32397.73
429331,31872.32
430333,32575.82
431337,32221.13
432339,31700.08
433343,31191.79
434347,31872.33
435349,32046.00
436353,32575.83
437355,31700.08
438359,31700.08
439362,32397.74
440365,31872.33
441368,31872.32
442372,32221.13
443374,32221.13
444378,31700.09
445380,31872.32
446384,32397.74
447387,31872.33
448390,31700.08
