time[ms],R1[ohm]
2,1515.19
1004,1553.62
2008,1489.71
3010,1502.43
4014,1489.71
5016,1439.09
6020,1426.51
7022,1413.96
8026,1489.71
9028,1413.96
10032,1401.43
11034,1401.43
12038,1388.93
13040,1388.93
14044,1364.02
15046,1302.21
16050,1326.85
17052,1326.85
18056,1326.85
19058,1339.21
20062,1289.93
21064,1277.68
22068,1265.46
23070,1265.46
24074,1253.26
25076,1253.26
26080,1228.95
27082,1204.74
28086,1228.95
29088,1216.83
30092,1216.83
31094,1204.74
32098,1204.74
33101,1192.67
34104,1180.63
35107,1180.63
36110,1180.63
37113,1132.75
38116,1156.64
39119,1132.75
40122,1108.96
41125,1120.84
42128,1120.84
43131,1085.27
44134,1085.27
45137,1108.96
46140,1097.10
47143,1108.96
48146,1073.47
49149,1061.69
50152,1085.27
51155,1061.69
52158,1026.50
53161,1061.69
54164,1038.21
55168,1026.50
56170,1003.18
57174,1049.94
58176,1014.83
59180,1014.83
60182,1003.18
61186,1026.50
62189,1003.18
63192,991.55
64195,979.95
65198,991.55
66200,991.55
67204,968.37
68206,991.55
69210,956.82
70212,979.95
71216,945.29
72218,933.79
73222,933.79
74224,910.85
75228,910.85
76230,899.42
77234,910.85
78236,888.02
79240,910.85
80242,899.42
81246,865.28
82248,888.02
83252,876.64
84254,876.64
85257,820.10
86260,876.64
87263,853.95
88266,865.28
89269,853.95
90272,853.95
91275,865.28
92278,797.65
93281,831.36
94284,831.36
95287,820.10
96290,820.10
97293,808.86
98296,808.86
99299,820.10
100302,786.46
101305,786.46
102308,786.46
103311,764.15
104314,775.29
105317,775.29
106320,753.03
107323,753.03
108326,775.29
109329,741.93
110332,741.93
111335,753.03
112338,764.15
113341,741.93
114344,741.93
115347,719.81
116350,708.79
117353,730.86
118356,719.81
119359,753.03
120363,697.78
121365,708.79
122369,708.79
123371,708.79
124375,686.80
125377,708.79
126381,686.80
127384,708.79
128387,697.78
129390,686.80
130393,675.85
131396,719.81
132399,664.91
133402,675.85
134405,675.85
135408,675.85
136411,675.85
137414,664.91
138417,686.80
139420,621.40
140423,654.00
141426,664.91
142429,654.00
143432,654.00
144435,654.00
145438,643.11
146441,643.11
147444,697.78
148447,643.11
149450,664.91
150453,643.11
151456,643.11
152459,664.91
153462,589.01
154465,632.25
155468,621.40
156471,632.25
157474,632.25
158478,643.11
159480,654.00
160484,632.25
161486,632.25
162490,632.25
163492,632.25
164496,621.40
165498,632.25
166502,664.91
167504,643.11
168508,632.25
169510,632.25
170514,621.40
171516,632.25
172520,621.40
173522,632.25
174526,632.25
175528,632.25
176532,621.40
177534,632.25
178538,632.25
179540,610.58
180544,621.40
181547,610.58
182550,621.40
183553,632.25
184556,610.58
185560,578.25
186562,599.78
187566,610.58
188568,621.40
189572,632.25
190574,664.91
191578,643.11
192580,621.40
193584,589.01
194586,632.25
195590,632.25
196592,643.11
197596,664.91
