time[ms],R1[ohm]
2,9251.56
1004,9179.49
2008,9143.66
3010,9036.98
4014,8931.49
5016,8724.02
6020,8966.52
7022,8931.49
8026,8827.18
9028,8896.59
10032,9107.97
11034,8827.18
12038,8827.18
13040,8792.67
14044,8689.89
15046,8521.09
16050,8689.89
17052,8622.00
18056,8454.44
19058,8724.02
20062,8454.44
21064,8064.45
22068,7906.82
23070,7690.77
24074,7660.33
25076,7274.08
26080,7479.91
27082,7450.21
28086,7361.69
29088,7332.39
30092,7450.21
31094,7044.76
32098,7216.17
33101,7044.77
34104,7016.53
35107,6794.03
36110,7158.65
37113,6876.78
38116,6876.78
39119,7101.52
40122,6876.78
41125,6849.10
42128,6766.63
43131,6821.52
44134,6657.93
45137,6712.10
46140,6657.93
47143,6821.52
48146,6550.65
49149,6497.53
50152,6684.97
51155,6794.03
52158,6550.65
53161,6550.65
54164,6211.44
55168,6444.76
56170,6471.10
57174,6471.10
58176,6314.30
59180,6211.43
60183,6444.76
61186,6418.50
62189,6497.53
63192,6794.03
64195,6288.46
65198,6392.32
66201,6418.50
67204,6340.22
68207,6712.11
69210,6684.98
70213,6366.23
71216,6444.76
72219,6340.22
73222,6340.22
74225,6185.92
75228,6314.30
76231,6684.98
77234,6034.54
78237,6340.22
79240,6288.46
80243,6160.49
81246,6237.03
82249,6444.76
83252,6160.49
84255,6288.46
85258,6288.46
86261,6288.46
87265,6160.49
88267,6288.46
89271,6211.44
90273,6185.92
91277,6211.43
92279,5984.72
93283,6160.49
94285,6160.49
95289,6185.92
96291,5935.20
97295,5861.51
98297,6211.44
99301,6160.49
100303,6160.49
101307,6392.32
102309,6135.14
103313,6160.49
104316,6109.87
105319,5886.00
106322,6185.92
107325,6262.70
108328,5812.77
109331,6034.54
110334,6160.49
111337,6109.87
112340,6366.23
113344,6084.68
114347,6185.92
115350,6211.43
116353,6185.92
117356,6135.14
118359,6524.05
119362,6237.03
120366,6109.87
121368,6009.59
122372,6059.57
123374,6109.87
124378,6034.54
125380,6084.68
126384,6135.14
127386,6109.87
128390,6109.87
129393,6084.68
130396,5861.51
131399,6084.68
132402,6109.87
133405,6211.43
134408,6135.14
135411,6084.68
136415,6262.70
137417,5984.72
138421,6109.87
139423,5861.51
140427,6034.54
141429,6084.68
142433,5861.51
143435,6009.59
144439,6109.87
145442,5886.00
146445,6109.87
147448,6084.68
148451,5764.33
149454,6009.59
150457,6034.54
151460,5886.00
152464,6059.57
153466,6084.68
154470,6059.57
