time[ms],R1[ohm]
2,11517.90
1004,11472.71
2008,11427.72
3010,11700.58
4014,11517.90
5016,11563.28
6020,11563.28
7022,12027.91
8026,11700.58
9028,11563.28
10032,11563.28
11035,11293.87
12038,11700.58
13041,11654.62
14044,11563.28
15047,11472.71
16050,11839.66
17053,11427.72
18056,11382.91
19059,11249.62
20063,10690.90
21065,10774.92
22069,10321.14
23071,9925.64
24075,9810.00
25077,9036.98
26081,9215.45
27083,8966.52
28087,8655.88
29089,8966.52
30093,8792.67
31095,8355.35
32099,8257.34
33101,8096.31
34105,7875.63
35107,8160.37
36111,7782.72
37114,7844.55
38117,7721.31
39120,7569.65
40123,7751.96
41126,7569.65
42129,7509.72
43132,7450.21
44135,7303.19
45138,7332.39
46141,7361.69
47144,7361.69
48147,7158.65
49150,7187.36
50153,7303.18
51156,7158.65
52159,7303.19
53163,7101.52
54165,7101.52
55169,7101.52
56171,6849.10
57175,7016.53
58177,7101.52
59181,7187.36
60183,6960.35
61187,6849.10
62189,7245.08
63193,6932.40
64195,6794.03
65199,6988.39
66202,6849.10
67205,6876.78
68208,6960.35
69211,6794.03
70214,6821.52
71217,6766.63
72220,6739.33
73223,6766.63
74226,6684.98
75229,6684.98
76232,6739.32
77235,6577.34
78238,6739.33
79241,6657.93
80244,6794.03
81247,6630.98
82250,6657.93
83253,6550.65
84256,6604.12
85259,6684.98
86262,6794.03
87265,6630.98
88268,6604.12
89271,6577.34
90274,6604.12
91277,6712.11
92280,6524.05
93283,6550.65
94286,6577.34
95290,6577.34
96292,6577.34
97296,6630.98
98298,6444.76
99302,6497.53
100304,6444.76
101308,6630.98
102310,6444.76
103314,6524.05
104316,6577.34
105320,6739.33
106322,6497.53
107326,6497.53
108329,6684.98
109332,6497.53
110336,6497.53
111338,6630.98
112342,6418.50
113344,6340.23
114348,6497.53
115351,6524.05
116354,6657.93
117357,6444.76
118360,6471.10
119363,6471.10
120366,6444.76
121369,6444.76
122372,6497.53
123375,6418.50
124379,6418.50
125381,6340.22
126385,6392.32
127387,6418.50
128391,6262.70
129393,6471.10
130397,6418.50
131400,6288.46
132403,6418.50
133406,6366.23
134409,6237.03
135412,6392.32
136415,6392.32
137418,6577.34
138421,6444.76
139424,6392.32
140428,6314.30
141430,6262.70
142434,6392.32
143436,6366.23
144440,6340.22
145442,6471.10
146446,6340.22
147449,6418.50
148452,6418.50
149455,6497.53
150458,6366.23
151461,6392.32
152464,6366.23
153467,6444.76
154471,6314.30
155473,6340.22
156477,6314.30
157479,6497.53
158483,6211.43
159485,6314.30
160489,6314.30
161491,6262.70
162495,6288.46
163499,6314.30
164501,6340.22
165505,6444.76
166507,6237.03
167511,6340.22
168513,6340.22
169517,6340.23
170520,6211.44
171523,6524.05
172526,6314.30
173529,6288.46
174532,6314.30
175535,6237.03
176538,6550.65
177541,6262.70
178544,6314.30
179548,6160.49
180550,6135.14
181554,6109.87
182556,6288.46
183560,6288.46
184562,6288.46
185566,6262.70
186569,6418.50
187572,6160.49
188575,6314.30
189578,6314.30
190581,6366.23
191584,6444.76
192587,6366.23
193590,6237.03
194593,6109.87
195597,6185.92
196599,6237.03
197603,6314.30
198605,6262.70
199609,6262.70
200611,6444.76
201615,6160.49
202618,6237.03
203621,6237.03
204624,6392.32
205627,6262.70
206630,6160.49
207633,6160.49
208636,6084.68
209639,6211.44
210642,6185.92
211646,6135.14
212648,6262.70
213652,5984.72
214654,6262.70
215658,6237.03
216660,6288.46
217664,6262.70
218667,6237.03
219670,6211.44
220674,6340.23
221676,6444.76
222680,6211.44
223682,6185.92
224686,6418.50
225688,6059.57
226692,6185.92
227695,6160.49
228698,6185.92
229701,6366.23
230704,6185.92
231707,6211.44
232710,6262.70
233713,6211.44
234716,6237.03
235719,6084.68
236723,6185.92
237725,6211.44
238729,6034.54
239731,6009.59
240735,6185.92
241737,6211.44
242741,6160.49
243744,6366.23
244747,6340.22
245750,6185.92
246753,6185.92
247756,6160.49
248759,6059.57
249762,6211.44
250766,6237.03
251768,6237.03
252772,6185.92
253774,6160.49
254778,6135.14
255780,6288.46
256784,6211.43
257786,6160.49
258790,6185.92
259793,6288.46
260796,6084.68
261799,6160.49
262802,6135.14
263805,6185.92
264808,6160.49
265811,6160.49
266815,5959.92
267817,6084.68
268821,6185.92
269824,6084.68
270827,6185.92
271830,6185.92
272833,6185.92
273836,6034.54
274839,6109.87
275843,6009.59
276845,6185.92
277849,6135.14
278851,6009.59
279855,6009.59
280857,6160.49
281861,5959.92
282863,6034.54
283867,6211.44
284870,6185.92
285873,6262.70
286876,6135.14
287879,6160.49
288882,6084.68
289885,6160.49
290888,6211.44
291892,6084.68
292894,6084.68
293898,6160.49
294900,6059.57
295904,5984.72
296906,6160.49
297910,6160.49
298912,6034.54
299916,6135.14
300919,6109.87
301922,6034.54
302925,5984.72
303928,6135.14
304931,6160.49
305934,6288.46
306937,6185.92
307941,6109.87
308943,5984.72
309947,6109.87
310949,6135.14
311953,5984.72
312955,6135.14
313959,6109.87
314962,6288.46
315965,6109.87
316968,6109.87
317971,6084.68
318974,6084.68
319977,6135.14
320980,6262.70
321983,6084.68
322987,6109.87
323990,6084.68
324993,6084.68
325996,6211.44
326999,6084.68
328002,6237.03
329005,6084.68
330008,6109.87
331012,6084.68
332014,6109.87
333018,6160.49
334020,6059.57
335024,6211.43
336026,6160.49
337030,6109.87
338032,6009.59
339036,6059.57
340039,6109.87
341042,6109.87
342045,6262.70
343048,6084.68
344051,6109.87
345054,6034.54
346057,6084.68
347061,6084.68
348063,6034.54
349067,6237.03
350069,6084.68
351073,6084.68
352075,6135.14
353079,6109.87
354081,6084.68
355085,6262.70
356088,6109.87
