time[ms],R1[ohm]
2,9287.79
1004,9251.56
2008,9287.79
3010,9215.45
4014,9215.45
5016,8792.67
6020,8792.67
7022,8388.26
8026,8001.06
9028,7969.54
10032,7690.77
11034,7361.69
12038,7509.72
13040,7361.69
14044,7420.60
15046,7130.03
16050,7101.52
17052,7044.76
18056,6988.39
19058,6960.35
20062,6739.32
21064,6876.78
22068,6876.78
23070,6766.63
24074,6794.03
25076,6739.32
26080,6577.34
27082,6739.32
28086,6684.98
29088,6684.98
30092,6630.98
31094,6684.97
32098,6712.10
33101,6577.34
34104,6550.65
35107,6630.98
36110,6524.05
37113,6630.98
38116,6524.05
39119,6550.65
40122,6471.10
41125,6418.50
42128,6444.76
43131,6712.10
44134,6444.76
45137,6471.10
46140,6340.22
47143,6471.10
48146,6418.50
49149,6288.46
50152,6418.50
51155,6471.10
52158,6392.32
53161,6550.65
54164,6418.50
55168,6340.23
56170,6577.34
57174,6392.32
58177,6392.32
59180,6577.34
60183,6471.10
61186,6340.23
62189,6392.32
63192,6604.12
64195,6366.23
65198,6418.50
66201,6340.22
67204,6314.30
68207,6314.30
69210,6185.92
70213,6237.03
71216,6262.70
72219,6392.32
73222,6288.46
74225,6211.44
75228,6340.22
76231,6314.30
77234,6288.46
78237,6135.14
79240,6262.70
80243,6288.46
81246,6185.92
82249,6288.46
83253,6288.46
84255,6392.32
85259,6185.92
86261,6237.03
87265,6314.30
88267,6109.87
89271,6211.44
90273,6340.22
91277,6262.70
92279,6109.87
93283,6314.30
94285,6262.70
95289,6185.92
96291,6059.57
97295,6211.44
98297,6262.70
99301,6288.46
100303,6211.44
101307,6340.22
102309,6135.14
103313,6237.03
104316,6237.03
105319,6211.44
106322,6185.92
107325,6392.32
108328,6059.57
109331,6211.44
110334,6160.49
111338,6160.49
112340,6135.14
113344,6314.30
114347,6185.92
115350,6185.92
116353,6288.46
117356,6340.22
118359,6135.14
119362,6237.03
120366,6211.43
121368,6160.49
122372,6034.54
123374,6237.03
124378,6185.92
125380,6135.14
126384,6109.87
127387,6084.68
128390,6237.03
129393,6185.92
130396,6211.44
131399,6185.92
132402,6288.46
133405,6160.49
134408,6185.92
135411,6059.57
136415,6185.92
137417,6185.92
138421,6185.92
139423,6160.49
140427,6366.23
141429,6211.44
142433,6084.68
143435,5984.72
144439,6034.54
145442,6185.92
146445,6160.49
147448,5984.72
148451,5935.20
149454,6135.14
150457,6084.68
151460,6009.59
152464,6288.46
153466,6135.14
154470,6185.92
155472,6034.54
156476,6418.50
157478,6135.14
158482,6135.14
159485,6109.87
160488,5935.20
161491,6109.87
162494,6109.87
163497,6211.44
164500,6262.70
165504,6160.49
166506,6135.14
167510,6185.92
168513,6237.03
169516,6135.14
170519,6084.68
171522,6135.14
172525,6160.49
173528,6109.87
174531,6135.14
175535,5959.92
176537,6185.92
177541,6135.14
178543,6288.46
179547,6009.59
180549,6109.87
181553,6135.14
182555,6211.44
183559,6160.49
184562,6135.14
185565,5959.92
186568,6059.57
187571,6084.68
188574,6034.54
189577,6185.92
190580,6109.87
191584,6109.87
192586,5935.20
193590,5984.72
194592,6084.68
195596,6109.87
196598,6314.30
197602,6109.87
198604,6059.57
199608,6160.49
200611,5959.92
201614,6109.87
202617,6109.87
203620,5886.00
204623,5959.92
205626,6084.68
206629,6160.49
207633,5837.10
208635,6034.54
209639,6109.87
210641,5886.00
211645,6109.87
212647,6084.68
213651,5959.92
214654,6135.14
215657,6059.57
216660,6135.14
217663,6084.68
218667,6059.57
219669,6084.68
220673,6009.59
221675,6084.68
222679,6009.59
223682,6059.57
224685,6160.49
225688,6009.59
226691,5984.72
227694,6314.30
228697,5959.92
229700,6059.57
230704,5910.56
231706,6059.57
232710,6034.54
233712,6009.59
234716,6109.87
235718,6109.87
236722,6288.46
237724,6059.57
238728,6185.92
239731,6009.59
240734,6084.68
241737,5935.20
242740,6034.54
243743,6059.57
244746,6034.54
245749,6009.59
246753,6059.57
247755,5984.72
248759,6034.54
249761,6084.68
250765,6084.68
251767,6084.68
252771,5812.77
253774,6059.57
254777,6059.57
255780,5935.20
256783,6034.54
257786,6009.59
258789,6340.22
259792,6009.59
260795,6034.54
261798,6034.54
262802,5984.72
263804,6034.54
264808,6084.68
265810,5959.92
266814,6034.54
267816,6059.57
268820,6034.54
269824,6135.14
270826,6059.57
271830,6034.54
272832,6059.57
273836,6314.30
274838,6059.57
275842,6034.54
276844,6059.57
277848,6211.44
278851,6059.57
279854,6034.54
280857,6084.68
281860,5886.00
282863,5959.92
283866,6059.57
284869,6034.54
285873,6009.59
286875,6160.49
287879,6059.57
288881,6034.54
289885,6084.68
290887,5861.51
291891,6059.57
292894,6009.59
293897,6059.57
294900,6185.92
295903,5959.92
296906,5984.72
297909,6059.57
298912,6034.54
299915,6034.54
300918,6237.03
301922,5984.72
302924,6009.59
303928,6009.59
304930,5837.10
305934,6009.59
306936,6009.59
307940,6009.59
308943,5812.77
309946,5984.72
310949,6009.59
311952,5959.92
312955,5812.77
313958,6059.57
314961,6009.59
315964,6185.92
316967,6009.59
317971,5959.92
318973,6160.49
319977,5886.00
320979,6059.57
321983,5984.72
322985,5910.56
323989,5984.72
324993,6009.59
325995,6009.59
326999,6059.57
328001,5910.56
329005,6009.59
330007,5984.72
331011,5812.77
332014,6009.59
333017,5935.20
334020,6009.59
335023,5812.77
336026,6084.68
337029,6009.59
338032,5984.72
339035,6009.59
340038,5837.10
341042,5935.20
342044,5984.72
343048,6084.68
344050,6211.44
345054,5959.92
346056,6009.59
347060,5959.92
348063,6034.54
349066,6009.59
350069,5935.20
351072,6034.54
352075,5886.00
353078,5984.72
354081,5959.92
355084,5959.92
356087,6059.57
357091,5935.20
358093,5984.72
359097,6009.59
360099,5764.33
361103,5910.56
362105,6009.59
363109,5984.72
364112,6109.87
365115,6288.46
366118,6009.59
367121,5935.20
368124,5935.20
369127,5861.51
370130,5861.51
371134,5959.92
372136,6009.59
373140,6185.92
374142,6185.92
375146,5959.92
376148,5935.20
377152,5959.92
378155,5837.10
379158,5959.92
380162,5959.92
381164,5984.72
382168,5935.20
383170,6211.44
384174,5910.56
385176,5959.92
386180,6034.54
387183,6160.49
388186,6160.49
389189,5935.20
390192,5984.72
391195,6009.59
392198,5837.10
393201,6185.92
394205,5959.92
395207,5984.72
396211,6009.59
397213,6084.68
398217,6160.49
399219,6009.59
400223,6034.54
401225,5910.56
402229,5764.33
403232,5935.20
404235,5959.92
405238,6009.59
406241,6135.14
407244,6109.87
408247,5984.72
409250,6009.59
410254,6160.49
411256,6135.14
412260,5959.92
413262,5910.56
414266,6109.87
415268,6059.57
416272,5984.72
417275,5984.72
418278,6059.57
419281,5959.92
420284,5910.56
421287,6109.87
422290,5861.51
423293,5935.20
424296,6135.14
425299,5910.56
426303,5984.72
427305,5861.51
428309,5959.92
429312,5935.20
430315,6084.68
431318,5910.56
432321,5959.92
433325,5764.33
434327,6009.59
435331,5984.72
436333,5740.22
437337,5935.20
438339,5935.20
439343,5812.77
440346,5935.20
441349,5935.20
442352,6211.44
443355,5935.20
444358,5984.72
445361,6009.59
446364,5935.20
447367,5935.20
448370,6135.14
449374,5935.20
450376,5935.20
451380,5764.33
452382,5959.92
453386,5935.20
454388,5837.10
455392,5910.56
456395,5910.56
457398,6109.87
458401,5935.20
459404,6185.92
460407,5959.92
461410,5910.56
462413,5812.77
463417,5910.56
464419,5935.20
465423,5812.77
